document_id,shipment_id,order_id,incident_id,document_type,document_date,storage_path,file_format,language_code,extracted_text,created_at
35,15,15,,proof_of_delivery,2025-06-05T13:50:51+00:00,s3://logistics-book-lab/documents/proof_of_delivery/shipment_id=15/35.docx,docx,es,"Synthetic proof_of_delivery for shipment 15. Carrier, delivery status and operational notes are available for analysis.",2025-06-02T14:50:51+00:00
36,16,16,,delivery_note,2025-03-24T05:07:15+00:00,s3://logistics-book-lab/documents/delivery_note/shipment_id=16/36.pdf,pdf,it,"Synthetic delivery_note for shipment 16. Carrier, delivery status and operational notes are available for analysis.",2025-03-21T03:07:15+00:00
37,16,16,,proof_of_delivery,2025-03-24T13:07:15+00:00,s3://logistics-book-lab/documents/proof_of_delivery/shipment_id=16/37.txt,txt,fr,"Synthetic proof_of_delivery for shipment 16. Carrier, delivery status and operational notes are available for analysis.",2025-03-21T03:07:15+00:00
38,17,17,,delivery_note,2025-08-25T02:56:46+00:00,s3://logistics-book-lab/documents/delivery_note/shipment_id=17/38.pdf,pdf,es,"Synthetic delivery_note for shipment 17. Carrier, delivery status and operational notes are available for analysis.",2025-08-24T01:56:46+00:00
39,17,17,,proof_of_delivery,2025-08-24T04:56:46+00:00,s3://logistics-book-lab/documents/proof_of_delivery/shipment_id=17/39.docx,docx,fr,"Synthetic proof_of_delivery for shipment 17. Carrier, delivery status and operational notes are available for analysis.",2025-08-24T01:56:46+00:00
40,18,18,,delivery_note,2025-01-12T13:50:54+00:00,s3://logistics-book-lab/documents/delivery_note/shipment_id=18/40.html,html,es,"Synthetic delivery_note for shipment 18. Carrier, delivery status and operational notes are available for analysis.",2025-01-10T05:50:54+00:00
41,18,18,,proof_of_delivery,2025-01-13T14:50:54+00:00,s3://logistics-book-lab/documents/proof_of_delivery/shipment_id=18/41.docx,docx,en,"Synthetic proof_of_delivery for shipment 18. Carrier, delivery status and operational notes are available for analysis.",2025-01-10T05:50:54+00:00
42,19,19,,delivery_note,2025-11-18T14:23:41+00:00,s3://logistics-book-lab/documents/delivery_note/shipment_id=19/42.txt,txt,it,"Synthetic delivery_note for shipment 19. Carrier, delivery status and operational notes are available for analysis.",2025-11-15T00:23:41+00:00
43,19,19,,proof_of_delivery,2025-11-16T20:23:41+00:00,s3://logistics-book-lab/documents/proof_of_delivery/shipment_id=19/43.txt,txt,de,"Synthetic proof_of_delivery for shipment 19. Carrier, delivery status and operational notes are available for analysis.",2025-11-15T00:23:41+00:00
44,19,19,,invoice,2025-11-17T12:23:41+00:00,s3://logistics-book-lab/documents/invoice/shipment_id=19/44.txt,txt,it,"Synthetic invoice for shipment 19. Carrier, delivery status and operational notes are available for analysis.",2025-11-15T00:23:41+00:00
45,20,20,,delivery_note,2025-09-23T21:52:00+00:00,s3://logistics-book-lab/documents/delivery_note/shipment_id=20/45.html,html,de,"Synthetic delivery_note for shipment 20. Carrier, delivery status and operational notes are available for analysis.",2025-09-23T17:52:00+00:00
46,20,20,,proof_of_delivery,2025-09-23T18:52:00+00:00,s3://logistics-book-lab/documents/proof_of_delivery/shipment_id=20/46.pdf,pdf,es,"Synthetic proof_of_delivery for shipment 20. Carrier, delivery status and operational notes are available for analysis.",2025-09-23T17:52:00+00:00
47,21,21,,delivery_note,2025-05-12T18:06:45+00:00,s3://logistics-book-lab/documents/delivery_note/shipment_id=21/47.docx,docx,it,"Synthetic delivery_note for shipment 21. Carrier, delivery status and operational notes are available for analysis.",2025-05-10T14:06:45+00:00
48,21,21,,proof_of_delivery,2025-05-10T15:06:45+00:00,s3://logistics-book-lab/documents/proof_of_delivery/shipment_id=21/48.docx,docx,en,"Synthetic proof_of_delivery for shipment 21. Carrier, delivery status and operational notes are available for analysis.",2025-05-10T14:06:45+00:00
49,21,21,,invoice,2025-05-11T11:06:45+00:00,s3://logistics-book-lab/documents/invoice/shipment_id=21/49.html,html,de,"Synthetic invoice for shipment 21. Carrier, delivery status and operational notes are available for analysis.",2025-05-10T14:06:45+00:00
50,22,22,,delivery_note,2025-10-12T05:36:37+00:00,s3://logistics-book-lab/documents/delivery_note/shipment_id=22/50.pdf,pdf,it,"Synthetic delivery_note for shipment 22. Carrier, delivery status and operational notes are available for analysis.",2025-10-09T05:36:37+00:00
51,22,22,,proof_of_delivery,2025-10-12T12:36:37+00:00,s3://logistics-book-lab/documents/proof_of_delivery/shipment_id=22/51.txt,txt,es,"Synthetic proof_of_delivery for shipment 22. Carrier, delivery status and operational notes are available for analysis.",2025-10-09T05:36:37+00:00
52,22,22,,invoice,2025-10-12T17:36:37+00:00,s3://logistics-book-lab/documents/invoice/shipment_id=22/52.pdf,pdf,es,"Synthetic invoice for shipment 22. Carrier, delivery status and operational notes are available for analysis.",2025-10-09T05:36:37+00:00
53,23,23,,delivery_note,2025-04-16T21:41:52+00:00,s3://logistics-book-lab/documents/delivery_note/shipment_id=23/53.txt,txt,it,"Synthetic delivery_note for shipment 23. Carrier, delivery status and operational notes are available for analysis.",2025-04-15T10:41:52+00:00
54,23,23,,proof_of_delivery,2025-04-16T06:41:52+00:00,s3://logistics-book-lab/documents/proof_of_delivery/shipment_id=23/54.docx,docx,de,"Synthetic proof_of_delivery for shipment 23. Carrier, delivery status and operational notes are available for analysis.",2025-04-15T10:41:52+00:00
55,24,24,,delivery_note,2025-12-30T20:48:02+00:00,s3://logistics-book-lab/documents/delivery_note/shipment_id=24/55.pdf,pdf,es,"Synthetic delivery_note for shipment 24. Carrier, delivery status and operational notes are available for analysis.",2025-12-28T09:48:02+00:00
56,24,24,,proof_of_delivery,2025-12-31T15:48:02+00:00,s3://logistics-book-lab/documents/proof_of_delivery/shipment_id=24/56.pdf,pdf,it,"Synthetic proof_of_delivery for shipment 24. Carrier, delivery status and operational notes are available for analysis.",2025-12-28T09:48:02+00:00
57,25,25,,delivery_note,2025-10-12T07:52:10+00:00,s3://logistics-book-lab/documents/delivery_note/shipment_id=25/57.pdf,pdf,fr,"Synthetic delivery_note for shipment 25. Carrier, delivery status and operational notes are available for analysis.",2025-10-08T08:52:10+00:00
58,25,25,,proof_of_delivery,2025-10-10T19:52:10+00:00,s3://logistics-book-lab/documents/proof_of_delivery/shipment_id=25/58.docx,docx,it,"Synthetic proof_of_delivery for shipment 25. Carrier, delivery status and operational notes are available for analysis.",2025-10-08T08:52:10+00:00
59,26,26,,delivery_note,2026-02-06T05:51:22+00:00,s3://logistics-book-lab/documents/delivery_note/shipment_id=26/59.html,html,fr,"Synthetic delivery_note for shipment 26. Carrier, delivery status and operational notes are available for analysis.",2026-02-02T15:51:22+00:00
60,26,26,,proof_of_delivery,2026-02-05T05:51:22+00:00,s3://logistics-book-lab/documents/proof_of_delivery/shipment_id=26/60.pdf,pdf,en,"Synthetic proof_of_delivery for shipment 26. Carrier, delivery status and operational notes are available for analysis.",2026-02-02T15:51:22+00:00
61,27,27,,delivery_note,2025-06-10T16:29:36+00:00,s3://logistics-book-lab/documents/delivery_note/shipment_id=27/61.pdf,pdf,it,"Synthetic delivery_note for shipment 27. Carrier, delivery status and operational notes are available for analysis.",2025-06-10T01:29:36+00:00
62,27,27,,proof_of_delivery,2025-06-10T21:29:36+00:00,s3://logistics-book-lab/documents/proof_of_delivery/shipment_id=27/62.docx,docx,fr,"Synthetic proof_of_delivery for shipment 27. Carrier, delivery status and operational notes are available for analysis.",2025-06-10T01:29:36+00:00
63,28,28,,delivery_note,2025-08-25T22:41:02+00:00,s3://logistics-book-lab/documents/delivery_note/shipment_id=28/63.pdf,pdf,de,"Synthetic delivery_note for shipment 28. Carrier, delivery status and operational notes are available for analysis.",2025-08-22T15:41:02+00:00
64,28,28,,proof_of_delivery,2025-08-24T17:41:02+00:00,s3://logistics-book-lab/documents/proof_of_delivery/shipment_id=28/64.txt,txt,es,"Synthetic proof_of_delivery for shipment 28. Carrier, delivery status and operational notes are available for analysis.",2025-08-22T15:41:02+00:00
65,29,29,,delivery_note,2025-05-06T22:06:55+00:00,s3://logistics-book-lab/documents/delivery_note/shipment_id=29/65.pdf,pdf,es,"Synthetic delivery_note for shipment 29. Carrier, delivery status and operational notes are available for analysis.",2025-05-05T13:06:55+00:00
66,29,29,,proof_of_delivery,2025-05-08T09:06:55+00:00,s3://logistics-book-lab/documents/proof_of_delivery/shipment_id=29/66.pdf,pdf,fr,"Synthetic proof_of_delivery for shipment 29. Carrier, delivery status and operational notes are available for analysis.",2025-05-05T13:06:55+00:00
67,30,30,,delivery_note,2025-08-28T01:11:36+00:00,s3://logistics-book-lab/documents/delivery_note/shipment_id=30/67.html,html,fr,"Synthetic delivery_note for shipment 30. Carrier, delivery status and operational notes are available for analysis.",2025-08-25T14:11:36+00:00
68,30,30,,invoice,2025-08-27T23:11:36+00:00,s3://logistics-book-lab/documents/invoice/shipment_id=30/68.txt,txt,de,"Synthetic invoice for shipment 30. Carrier, delivery status and operational notes are available for analysis.",2025-08-25T14:11:36+00:00
69,31,31,,delivery_note,2025-07-15T18:07:28+00:00,s3://logistics-book-lab/documents/delivery_note/shipment_id=31/69.docx,docx,fr,"Synthetic delivery_note for shipment 31. Carrier, delivery status and operational notes are available for analysis.",2025-07-14T17:07:28+00:00
70,31,31,,proof_of_delivery,2025-07-18T10:07:28+00:00,s3://logistics-book-lab/documents/proof_of_delivery/shipment_id=31/70.txt,txt,es,"Synthetic proof_of_delivery for shipment 31. Carrier, delivery status and operational notes are available for analysis.",2025-07-14T17:07:28+00:00
71,31,31,,invoice,2025-07-17T23:07:28+00:00,s3://logistics-book-lab/documents/invoice/shipment_id=31/71.pdf,pdf,it,"Synthetic invoice for shipment 31. Carrier, delivery status and operational notes are available for analysis.",2025-07-14T17:07:28+00:00
72,32,32,,delivery_note,2026-02-06T04:54:37+00:00,s3://logistics-book-lab/documents/delivery_note/shipment_id=32/72.txt,txt,es,"Synthetic delivery_note for shipment 32. Carrier, delivery status and operational notes are available for analysis.",2026-02-04T19:54:37+00:00
73,32,32,,proof_of_delivery,2026-02-05T08:54:37+00:00,s3://logistics-book-lab/documents/proof_of_delivery/shipment_id=32/73.docx,docx,en,"Synthetic proof_of_delivery for shipment 32. Carrier, delivery status and operational notes are available for analysis.",2026-02-04T19:54:37+00:00
74,33,33,,delivery_note,2025-10-21T12:22:54+00:00,s3://logistics-book-lab/documents/delivery_note/shipment_id=33/74.html,html,it,"Synthetic delivery_note for shipment 33. Carrier, delivery status and operational notes are available for analysis.",2025-10-20T16:22:54+00:00
75,33,33,,proof_of_delivery,2025-10-24T13:22:54+00:00,s3://logistics-book-lab/documents/proof_of_delivery/shipment_id=33/75.html,html,de,"Synthetic proof_of_delivery for shipment 33. Carrier, delivery status and operational notes are available for analysis.",2025-10-20T16:22:54+00:00
76,33,33,,invoice,2025-10-21T15:22:54+00:00,s3://logistics-book-lab/documents/invoice/shipment_id=33/76.pdf,pdf,fr,"Synthetic invoice for shipment 33. Carrier, delivery status and operational notes are available for analysis.",2025-10-20T16:22:54+00:00
77,34,34,,delivery_note,2026-01-18T15:17:44+00:00,s3://logistics-book-lab/documents/delivery_note/shipment_id=34/77.txt,txt,it,"Synthetic delivery_note for shipment 34. Carrier, delivery status and operational notes are available for analysis.",2026-01-17T13:17:44+00:00
78,34,34,,invoice,2026-01-18T23:17:44+00:00,s3://logistics-book-lab/documents/invoice/shipment_id=34/78.html,html,fr,"Synthetic invoice for shipment 34. Carrier, delivery status and operational notes are available for analysis.",2026-01-17T13:17:44+00:00
79,35,35,,delivery_note,2025-02-18T13:27:32+00:00,s3://logistics-book-lab/documents/delivery_note/shipment_id=35/79.html,html,en,"Synthetic delivery_note for shipment 35. Carrier, delivery status and operational notes are available for analysis.",2025-02-16T16:27:32+00:00
80,35,35,,proof_of_delivery,2025-02-20T11:27:32+00:00,s3://logistics-book-lab/documents/proof_of_delivery/shipment_id=35/80.pdf,pdf,de,"Synthetic proof_of_delivery for shipment 35. Carrier, delivery status and operational notes are available for analysis.",2025-02-16T16:27:32+00:00
81,36,36,,delivery_note,2026-01-25T02:51:40+00:00,s3://logistics-book-lab/documents/delivery_note/shipment_id=36/81.txt,txt,en,"Synthetic delivery_note for shipment 36. Carrier, delivery status and operational notes are available for analysis.",2026-01-23T00:51:40+00:00
82,36,36,,proof_of_delivery,2026-01-25T18:51:40+00:00,s3://logistics-book-lab/documents/proof_of_delivery/shipment_id=36/82.pdf,pdf,es,"Synthetic proof_of_delivery for shipment 36. Carrier, delivery status and operational notes are available for analysis.",2026-01-23T00:51:40+00:00
83,37,37,,delivery_note,2026-03-09T03:52:03+00:00,s3://logistics-book-lab/documents/delivery_note/shipment_id=37/83.html,html,it,"Synthetic delivery_note for shipment 37. Carrier, delivery status and operational notes are available for analysis.",2026-03-09T00:52:03+00:00
84,37,37,,proof_of_delivery,2026-03-10T21:52:03+00:00,s3://logistics-book-lab/documents/proof_of_delivery/shipment_id=37/84.html,html,fr,"Synthetic proof_of_delivery for shipment 37. Carrier, delivery status and operational notes are available for analysis.",2026-03-09T00:52:03+00:00
85,38,38,,delivery_note,2025-07-17T15:26:02+00:00,s3://logistics-book-lab/documents/delivery_note/shipment_id=38/85.pdf,pdf,fr,"Synthetic delivery_note for shipment 38. Carrier, delivery status and operational notes are available for analysis.",2025-07-13T19:26:02+00:00
86,38,38,,proof_of_delivery,2025-07-16T06:26:02+00:00,s3://logistics-book-lab/documents/proof_of_delivery/shipment_id=38/86.docx,docx,it,"Synthetic proof_of_delivery for shipment 38. Carrier, delivery status and operational notes are available for analysis.",2025-07-13T19:26:02+00:00
87,39,39,,delivery_note,2025-05-21T05:58:31+00:00,s3://logistics-book-lab/documents/delivery_note/shipment_id=39/87.txt,txt,en,"Synthetic delivery_note for shipment 39. Carrier, delivery status and operational notes are available for analysis.",2025-05-20T18:58:31+00:00
88,39,39,,proof_of_delivery,2025-05-21T03:58:31+00:00,s3://logistics-book-lab/documents/proof_of_delivery/shipment_id=39/88.html,html,es,"Synthetic proof_of_delivery for shipment 39. Carrier, delivery status and operational notes are available for analysis.",2025-05-20T18:58:31+00:00
89,39,39,,invoice,2025-05-23T15:58:31+00:00,s3://logistics-book-lab/documents/invoice/shipment_id=39/89.html,html,it,"Synthetic invoice for shipment 39. Carrier, delivery status and operational notes are available for analysis.",2025-05-20T18:58:31+00:00
90,40,40,,delivery_note,2025-11-03T05:48:45+00:00,s3://logistics-book-lab/documents/delivery_note/shipment_id=40/90.pdf,pdf,de,"Synthetic delivery_note for shipment 40. Carrier, delivery status and operational notes are available for analysis.",2025-10-30T23:48:45+00:00
91,40,40,,proof_of_delivery,2025-10-31T17:48:45+00:00,s3://logistics-book-lab/documents/proof_of_delivery/shipment_id=40/91.pdf,pdf,es,"Synthetic proof_of_delivery for shipment 40. Carrier, delivery status and operational notes are available for analysis.",2025-10-30T23:48:45+00:00
92,41,41,,delivery_note,2025-08-12T15:24:28+00:00,s3://logistics-book-lab/documents/delivery_note/shipment_id=41/92.docx,docx,es,"Synthetic delivery_note for shipment 41. Carrier, delivery status and operational notes are available for analysis.",2025-08-11T22:24:28+00:00
93,41,41,,proof_of_delivery,2025-08-12T18:24:28+00:00,s3://logistics-book-lab/documents/proof_of_delivery/shipment_id=41/93.pdf,pdf,en,"Synthetic proof_of_delivery for shipment 41. Carrier, delivery status and operational notes are available for analysis.",2025-08-11T22:24:28+00:00
94,42,42,,delivery_note,2026-03-19T10:32:03+00:00,s3://logistics-book-lab/documents/delivery_note/shipment_id=42/94.pdf,pdf,it,"Synthetic delivery_note for shipment 42. Carrier, delivery status and operational notes are available for analysis.",2026-03-16T16:32:03+00:00
95,42,42,,proof_of_delivery,2026-03-18T20:32:03+00:00,s3://logistics-book-lab/documents/proof_of_delivery/shipment_id=42/95.txt,txt,it,"Synthetic proof_of_delivery for shipment 42. Carrier, delivery status and operational notes are available for analysis.",2026-03-16T16:32:03+00:00
96,42,42,,invoice,2026-03-20T14:32:03+00:00,s3://logistics-book-lab/documents/invoice/shipment_id=42/96.docx,docx,it,"Synthetic invoice for shipment 42. Carrier, delivery status and operational notes are available for analysis.",2026-03-16T16:32:03+00:00
97,43,43,,delivery_note,2025-12-23T11:32:44+00:00,s3://logistics-book-lab/documents/delivery_note/shipment_id=43/97.pdf,pdf,de,"Synthetic delivery_note for shipment 43. Carrier, delivery status and operational notes are available for analysis.",2025-12-19T16:32:44+00:00
98,43,43,,proof_of_delivery,2025-12-21T22:32:44+00:00,s3://logistics-book-lab/documents/proof_of_delivery/shipment_id=43/98.html,html,it,"Synthetic proof_of_delivery for shipment 43. Carrier, delivery status and operational notes are available for analysis.",2025-12-19T16:32:44+00:00
99,44,44,,delivery_note,2025-10-25T20:21:20+00:00,s3://logistics-book-lab/documents/delivery_note/shipment_id=44/99.docx,docx,es,"Synthetic delivery_note for shipment 44. Carrier, delivery status and operational notes are available for analysis.",2025-10-25T18:21:20+00:00
100,44,44,,proof_of_delivery,2025-10-26T06:21:20+00:00,s3://logistics-book-lab/documents/proof_of_delivery/shipment_id=44/100.pdf,pdf,en,"Synthetic proof_of_delivery for shipment 44. Carrier, delivery status and operational notes are available for analysis.",2025-10-25T18:21:20+00:00
101,44,44,2,incident_email,2025-10-26T20:21:20+00:00,s3://logistics-book-lab/documents/incident_email/shipment_id=44/101.pdf,pdf,de,"Synthetic incident_email for shipment 44. Carrier, delivery status and operational notes are available for analysis.",2025-10-25T18:21:20+00:00
102,45,45,,delivery_note,2025-09-25T18:04:59+00:00,s3://logistics-book-lab/documents/delivery_note/shipment_id=45/102.html,html,es,"Synthetic delivery_note for shipment 45. Carrier, delivery status and operational notes are available for analysis.",2025-09-23T01:04:59+00:00
103,45,45,,proof_of_delivery,2025-09-25T05:04:59+00:00,s3://logistics-book-lab/documents/proof_of_delivery/shipment_id=45/103.pdf,pdf,en,"Synthetic proof_of_delivery for shipment 45. Carrier, delivery status and operational notes are available for analysis.",2025-09-23T01:04:59+00:00
104,46,46,,delivery_note,2026-01-05T18:44:50+00:00,s3://logistics-book-lab/documents/delivery_note/shipment_id=46/104.pdf,pdf,fr,"Synthetic delivery_note for shipment 46. Carrier, delivery status and operational notes are available for analysis.",2026-01-03T03:44:50+00:00
105,46,46,,proof_of_delivery,2026-01-05T00:44:50+00:00,s3://logistics-book-lab/documents/proof_of_delivery/shipment_id=46/105.txt,txt,en,"Synthetic proof_of_delivery for shipment 46. Carrier, delivery status and operational notes are available for analysis.",2026-01-03T03:44:50+00:00
106,47,47,,delivery_note,2025-04-10T18:29:33+00:00,s3://logistics-book-lab/documents/delivery_note/shipment_id=47/106.pdf,pdf,it,"Synthetic delivery_note for shipment 47. Carrier, delivery status and operational notes are available for analysis.",2025-04-07T17:29:33+00:00
107,47,47,,proof_of_delivery,2025-04-09T04:29:33+00:00,s3://logistics-book-lab/documents/proof_of_delivery/shipment_id=47/107.html,html,en,"Synthetic proof_of_delivery for shipment 47. Carrier, delivery status and operational notes are available for analysis.",2025-04-07T17:29:33+00:00
